time_s,T_actual,T_measured,u_bin,u_frac
182.000000,18.762032,18.707654,1,0.105353
183.000000,18.762024,18.618940,0,0.108048
184.000000,18.762015,18.751101,0,0.104116
185.000000,18.762007,18.795631,0,0.102812
186.000000,18.761998,18.700301,0,0.105705
187.000000,18.761990,18.759163,0,0.103971
188.000000,18.761981,18.779460,0,0.103394
189.000000,18.761973,18.784198,0,0.103284
190.000000,18.761965,18.773721,0,0.103631
191.000000,18.761956,18.766592,0,0.103877
192.000000,18.761948,18.742722,0,0.104626
193.000000,18.761939,18.637259,0,0.107823
194.000000,18.761931,18.761204,0,0.104137
195.000000,18.761922,18.732968,0,0.105017
196.000000,18.761914,18.754961,0,0.104390
197.000000,18.761906,18.830094,0,0.102168
198.000000,18.761897,18.784505,0,0.103567
199.000000,18.761889,18.790895,0,0.103408
200.000000,18.761880,18.777092,0,0.103854
201.000000,18.761872,18.838147,0,0.102054
202.000000,18.761864,18.720039,0,0.105630
203.000000,18.761855,18.739890,0,0.105067
204.000000,18.761847,18.737506,0,0.105171
205.000000,18.761838,18.719702,0,0.105738
206.000000,18.761830,18.820840,0,0.102736
207.000000,18.761821,18.715850,0,0.105918
208.000000,18.761813,18.749796,0,0.104933
209.000000,18.761805,18.656832,0,0.107755
210.000000,18.794964,18.796519,1,0.103596
211.000000,18.828122,18.737026,1,0.105414
212.000000,18.861281,18.906420,1,0.100363
213.000000,18.861271,18.887324,0,0.100967
214.000000,18.861262,18.839553,0,0.102432
215.000000,18.861252,18.942034,0,0.099388
216.000000,18.861243,18.878126,0,0.101336
217.000000,18.861233,18.854858,0,0.102066
218.000000,18.861224,18.818339,0,0.103193
219.000000,18.861214,18.920787,0,0.100150
220.000000,18.861204,18.853735,0,0.102193
221.000000,18.861195,18.892996,0,0.101047
222.000000,18.861185,18.944064,0,0.099545
223.000000,18.861176,18.867824,0,0.101864
224.000000,18.861166,18.867322,0,0.101910
225.000000,18.861157,18.900349,0,0.100950
226.000000,18.861147,18.797940,0,0.104055
227.000000,18.861138,18.871983,0,0.101865
228.000000,18.861128,18.799684,0,0.104066
229.000000,18.861119,18.891220,0,0.101351
230.000000,18.861109,18.949008,0,0.099647
231.000000,18.861100,18.798106,0,0.104207
232.000000,18.861090,18.942106,0,0.099917
233.000000,18.861081,18.861219,0,0.102375
234.000000,18.861071,18.920930,0,0.100615
235.000000,18.861062,18.904304,0,0.101144
236.000000,18.861052,18.800390,0,0.104294
237.000000,18.861043,18.952087,0,0.099773
238.000000,18.861033,18.920382,0,0.100755
239.000000,18.861024,18.868131,0,0.102354
240.000000,18.894182,18.803836,1,0.104315
241.000000,18.927339,18.881998,1,0.102001
242.000000,18.960496,18.867594,1,0.102465
243.000000,18.960486,18.993494,0,0.098718
244.000000,18.960475,18.853855,0,0.102938
245.000000,18.960465,18.938584,0,0.100427
246.000000,18.960454,19.029953,0,0.097716
247.000000,18.960443,18.827731,0,0.103814
248.000000,18.960433,18.954141,0,0.100052
249.000000,18.960422,19.022313,0,0.098037
